#x(nm),y(nN)
-5.200000000000000178e-01,-5.695428952004049528e+00
-5.158517721518990351e-01,-5.213982559085936330e+00
-5.117035443037978304e-01,-5.536346481340224557e+00
-5.075553164556966257e-01,-4.959707578731761934e+00
-5.034070886075949769e-01,-5.098517654831786317e+00
-4.992588607594937722e-01,-5.600227084185190662e+00
-4.951106329113925120e-01,-5.773542141313635412e+00
-4.909624050632913073e-01,-4.708540470595120375e+00
-4.868141772151901026e-01,-6.984821597112032876e+00
-4.826659493670888423e-01,-4.930920100054323463e+00
-4.785177215189876376e-01,-6.003656780246971358e+00
-4.743694936708864329e-01,-7.116408552860445269e+00
-4.702212658227851727e-01,-4.699794162054842239e+00
-4.660730379746839680e-01,-5.979422693666731625e+00
-4.619248101265823192e-01,-6.679041263394945638e+00
-4.577765822784811145e-01,-6.661228441847511839e+00
-4.536283544303799098e-01,-7.566506676786152852e+00
-4.494801265822786496e-01,-6.803103793165345081e+00
-4.453318987341774449e-01,-8.222985209750188318e+00
-4.411836708860762402e-01,-1.003490765940735585e+01
-4.370354430379749799e-01,-6.540091348877243860e+00
-4.328872151898737752e-01,-6.845983964694951851e+00
-4.287389873417725705e-01,-6.808661308090873554e+00
-4.245907594936709217e-01,-5.891254075505238497e+00
-4.204425316455696615e-01,-5.482643657825212458e+00
-4.162943037974684568e-01,-4.883866661873493165e+00
-4.121460759493672521e-01,-4.789964418021734893e+00
-4.079978481012660474e-01,-4.452312226727307198e+00
-4.038496202531647872e-01,-4.505499692144438129e+00
-3.997013924050635825e-01,-4.310824024153754763e+00
-3.955531645569623778e-01,-4.250340918755855846e+00
-3.914049367088611175e-01,-3.890690399817366529e+00
-3.872567088607599128e-01,-3.914272865114885480e+00
-3.831084810126582640e-01,-3.600842287218077864e+00
-3.789602531645570593e-01,-4.061496131700265799e+00
-3.748120253164557991e-01,-3.586111904315036902e+00
-3.706637974683545944e-01,-3.954876053551227066e+00
-3.665155696202533897e-01,-4.385156894771339076e+00
-3.623673417721521850e-01,-3.445282602723700016e+00
-3.582191139240509248e-01,-3.344350578142178509e+00
-3.540708860759497201e-01,-3.353490210232682678e+00
-3.499226582278485154e-01,-3.381225453892383381e+00
-3.457744303797468666e-01,-2.891675240981043338e+00
-3.416262025316456064e-01,-4.043075392590478323e+00
-3.374779746835444016e-01,-5.256773722535811544e+00
-3.333297468354431969e-01,-3.107420936560339797e+00
-3.291815189873419367e-01,-2.815793995029542529e+00
-3.250332911392407320e-01,-2.544664949717340807e+00
-3.208850632911395273e-01,-2.197178767122171195e+00
-3.167368354430383226e-01,-1.930331653896097288e+00
-3.125886075949370624e-01,-1.763461853832709814e+00
-3.084403797468358577e-01,-1.597514166290491699e+00
-3.042921518987342089e-01,-1.725250514842525229e+00
-3.001439240506330042e-01,-1.554468383455166247e+00
-2.959956962025317440e-01,-1.681450361142313499e+00
-2.918474683544305393e-01,-1.454153487593165428e+00
-2.876992405063293345e-01,-1.560380990728252426e+00
-2.835510126582280743e-01,-1.477623328603875352e+00
-2.794027848101268696e-01,-1.708590925793930904e+00
-2.752545569620256649e-01,-1.489548598000187241e+00
-2.711063291139244602e-01,-1.396500507637916888e+00
-2.669581012658228114e-01,-1.307622227268371073e+00
-2.628098734177217732e-01,-1.336826336358368339e+00
-2.586616455696203465e-01,-1.335245482220406954e+00
-2.545134177215191418e-01,-1.362311649149390291e+00
-2.503651898734178816e-01,-1.353622945974561675e+00
-2.462169620253166769e-01,-1.370206544810802507e+00
-2.420687341772154721e-01,-1.383786908709054186e+00
-2.379205063291140454e-01,-1.407977438237114187e+00
-2.337722784810128129e-01,-1.378247745339039598e+00
-2.296240506329115805e-01,-1.427669770017004902e+00
-2.254758227848103758e-01,-1.381284792888670676e+00
-2.213275949367091433e-01,-1.467457322579208245e+00
-2.171793670886077166e-01,-1.364840182460266726e+00
-2.130311392405064841e-01,-1.455366932879158082e+00
-2.088829113924052794e-01,-1.418823067026585338e+00
-2.047346835443040469e-01,-1.343660419255189531e+00
-2.005864556962028145e-01,-1.313200349841961545e+00
-1.964382278481013877e-01,-1.282745000047314621e+00
-1.922900000000001830e-01,-1.345251752096987552e+00
-1.881417721518989505e-01,-1.218155098289628979e+00
-1.839935443037977181e-01,-1.273192531673915440e+00
-1.798453164556962913e-01,-1.055940497837106307e+00
-1.756970886075950866e-01,-1.093395679929467512e+00
-1.715488607594938542e-01,-8.863776614863417835e-01
-1.674006329113926217e-01,-9.240465380485455293e-01
-1.632524050632914170e-01,-8.028610773899808040e-01
-1.591041772151899625e-01,-8.269059756137461248e-01
-1.549559493670887578e-01,-7.625918454048403738e-01
-1.508077215189875253e-01,-7.025114060971187069e-01
-1.466594936708863206e-01,-6.860234393625489480e-01
-1.425112658227850881e-01,-6.098815997445209414e-01
-1.383630379746836614e-01,-6.513576266009913907e-01
-1.342148101265824289e-01,-5.723254339575351013e-01
-1.300665822784812242e-01,-5.789582232887136026e-01
-1.259183544303799918e-01,-5.318150544024733417e-01
-1.217701265822787593e-01,-5.600830647121370909e-01
-1.176218987341773325e-01,-5.113870924755822278e-01
-1.134736708860761140e-01,-4.627585804878527886e-01
-1.093254430379748954e-01,-4.813523860892080508e-01
-1.051772151898736629e-01,-4.532283765739494319e-01
-1.010289873417722362e-01,-4.373149769990904989e-01
-9.688075949367101758e-02,-4.009432665316516875e-01
-9.273253164556979899e-02,-4.063075974988104577e-01
-8.858430379746856653e-02,-3.889412055403024260e-01
-8.443607594936734795e-02,-3.749935044707659593e-01
-8.028784810126592120e-02,-3.370800905468182007e-01
-7.613962025316470261e-02,-3.638988783978815422e-01
-7.199139240506347015e-02,-3.099619433714623229e-01
-6.784316455696225157e-02,-3.492771750340430414e-01
-6.369493670886103298e-02,-2.681647403562211762e-01
-5.954670886075959929e-02,-2.841472014052499051e-01
-5.539848101265837377e-02,-2.735072099891652786e-01
-5.125025316455715518e-02,-3.255450850711615329e-01
-4.710202531645592966e-02,-2.432204572806043463e-01
-4.295379746835471108e-02,-2.467337302683455524e-01
-3.880556962025327739e-02,-2.708269701762333614e-01
-3.465734177215205880e-02,-2.069363904327796988e-01
-3.050911392405083328e-02,-2.695388342933132120e-01
-2.636088607594961122e-02,-1.892688585782222321e-01
-2.221265822784818100e-02,-2.495886840259421979e-01
-1.806443037974695895e-02,-2.029053845910826770e-01
