#x(nm),y(Hz)
-4.600000000000000755e-01,-3.491258829957460819e+01
-4.559691139240511504e-01,-3.598365908544401037e+01
-4.519382278481016146e-01,-3.523467234081688559e+01
-4.479073417721524675e-01,-3.579185860986164869e+01
-4.438764556962029317e-01,-3.270427778863867729e+01
-4.398455696202537846e-01,-3.034462743990913935e+01
-4.358146835443042488e-01,-2.893009294460949121e+01
-4.317837974683547131e-01,-2.816325085866823130e+01
-4.277529113924055659e-01,-2.645993126295901376e+01
-4.237220253164560302e-01,-2.513320271299021158e+01
-4.196911392405068830e-01,-2.406201516196408363e+01
-4.156602531645573473e-01,-2.314845942975636106e+01
-4.116293670886082001e-01,-2.240614159778161962e+01
-4.075984810126586644e-01,-2.170155134430919119e+01
-4.035675949367091286e-01,-2.109652621998098354e+01
-3.995367088607599815e-01,-2.039184483268929426e+01
-3.955058227848104457e-01,-1.941958368903357979e+01
-3.914749367088612986e-01,-1.895164483870630434e+01
-3.874440506329117628e-01,-1.866998700106478637e+01
-3.834131645569626157e-01,-1.468075682922607150e+01
-3.793822784810130799e-01,-1.378511348138624015e+01
-3.753513924050635442e-01,-1.307948896477602219e+01
-3.713205063291143970e-01,-1.256150439527178619e+01
-3.672896202531648613e-01,-1.184434909845960604e+01
-3.632587341772157696e-01,-1.164915223007877643e+01
-3.592278481012661784e-01,-1.168599254288513301e+01
-3.551969620253170867e-01,-1.220522226996718373e+01
-3.511660759493674955e-01,-1.138445113013215781e+01
-3.471351898734179597e-01,-7.734754762271553119e+00
-3.431043037974688681e-01,-7.415831443597301842e+00
-3.390734177215192768e-01,-7.194654220590537719e+00
-3.350425316455701852e-01,-6.910006329109033452e+00
-3.310116455696206494e-01,-6.729924835157773622e+00
-3.269807594936715023e-01,-6.460576160219956066e+00
-3.229498734177219665e-01,-6.226119885460210668e+00
-3.189189873417724308e-01,-6.088403844771084650e+00
-3.148881012658232836e-01,-5.865025539234720142e+00
-3.108572151898737479e-01,-5.662812885130746210e+00
-3.068263291139246007e-01,-5.480034285145510609e+00
-3.027954430379750650e-01,-5.318988299610532877e+00
-2.987645569620259178e-01,-5.156047189322874758e+00
-2.947336708860763821e-01,-4.987552256301784226e+00
-2.907027848101268463e-01,-4.810720155297351752e+00
-2.866718987341776992e-01,-4.650950451287352294e+00
-2.826410126582281634e-01,-4.513395065747653589e+00
-2.786101265822790163e-01,-4.360334614595706704e+00
-2.745792405063294805e-01,-4.192157479146392696e+00
-2.705483544303803334e-01,-4.078492922594173287e+00
-2.665174683544307976e-01,-3.948800101705431054e+00
-2.624865822784814839e-01,-3.851727328946982887e+00
-2.584556962025321147e-01,-3.732934062399197561e+00
-2.544248101265825790e-01,-3.630859485620250737e+00
-2.503939240506332653e-01,-3.494977189291056607e+00
-2.463630379746838961e-01,-3.463844534580120982e+00
-2.423321518987345546e-01,-3.359981065732432270e+00
-2.383012658227852409e-01,-3.288997670135433538e+00
-2.342703797468358995e-01,-3.191488894770909024e+00
-2.302394936708865580e-01,-3.111413251649390865e+00
-2.262086075949369945e-01,-3.018093877707584305e+00
-2.221777215189876808e-01,-2.908366077971683783e+00
-2.181468354430383394e-01,-2.839211106928271278e+00
-2.141159493670889979e-01,-2.766184563405805541e+00
-2.100850632911396565e-01,-2.686718536311961003e+00
-2.060541772151903150e-01,-2.632663754452964078e+00
-2.020232911392409736e-01,-2.558768571985545304e+00
-1.979924050632914379e-01,-2.510975145568694611e+00
-1.939615189873420964e-01,-2.421368332597793049e+00
-1.899306329113927549e-01,-2.382996350777883521e+00
-1.858997468354434135e-01,-2.325323536003829794e+00
-1.818688607594940720e-01,-2.272003674122017980e+00
-1.778379746835447306e-01,-2.195429176523012060e+00
-1.738070886075954169e-01,-2.177620565635583372e+00
-1.697762025316458534e-01,-2.099128375005097524e+00
-1.657453164556965119e-01,-2.063033558930365885e+00
-1.617144303797471705e-01,-2.022492654880629459e+00
-1.576835443037978568e-01,-1.937915396649889432e+00
-1.536526582278485153e-01,-1.934818763651435569e+00
-1.496217721518991739e-01,-1.845913815189160534e+00
-1.455908860759498324e-01,-1.851116604711593894e+00
-1.415600000000002967e-01,-1.787776576806883844e+00
-1.375291139240509553e-01,-1.759741948763562602e+00
-1.334982278481016138e-01,-1.739410619801603053e+00
-1.294673417721522724e-01,-1.687249049055785211e+00
-1.254364556962029309e-01,-1.672692427535191761e+00
-1.214055696202535894e-01,-1.593696525250675400e+00
-1.173746835443042619e-01,-1.595883676647511962e+00
-1.133437974683547123e-01,-1.557666869964519751e+00
-1.093129113924053708e-01,-1.527085390571508716e+00
-1.052820253164560294e-01,-1.502218868366506310e+00
-1.012511392405067018e-01,-1.459245167324753067e+00
-9.722025316455736033e-02,-1.450728263332566437e+00
-9.318936708860801887e-02,-1.405194192865508507e+00
-8.915848101265867742e-02,-1.367493259207361866e+00
-8.512759493670914168e-02,-1.364251766977768954e+00
-8.109670886075980023e-02,-1.312956730359214008e+00
-7.706582278481045878e-02,-1.320412007292095291e+00
-7.303493670886111733e-02,-1.279701726669971951e+00
-6.900405063291178975e-02,-1.234419890312250745e+00
-6.497316455696244830e-02,-1.225613904969586887e+00
-6.094227848101310685e-02,-1.195787492913173988e+00
-5.691139240506356417e-02,-1.204740666673205896e+00
-5.288050632911422272e-02,-1.143221233883119803e+00
-4.884962025316488821e-02,-1.149308194663075877e+00
-4.481873417721554675e-02,-1.109730508083488276e+00
-4.078784810126621224e-02,-1.104410696905292255e+00
-3.675696202531687079e-02,-1.076119581112142010e+00
-3.272607594936753628e-02,-1.051744794820185458e+00
-2.869518987341799013e-02,-1.049704299262028906e+00
-2.466430379746865215e-02,-1.021062332074178070e+00
-2.063341772151931416e-02,-9.948324394927745562e-01
-1.660253164556997618e-02,-9.818837531657280682e-01
-1.257164556962063647e-02,-9.692282312525590804e-01
-8.540759493671298483e-03,-9.550134394762153089e-01
-4.509873417721960501e-03,-9.626083392999122967e-01
-4.789873417724155443e-04,-9.348746128728619986e-01
3.551898734176922763e-03,-8.922139796056576255e-01
7.582784810126260745e-03,-9.088758781319214997e-01
1.161367088607559959e-02,-8.907794557442507699e-01
1.564455696202493584e-02,-8.883340230562606354e-01
1.967544303797427382e-02,-8.644214554337461554e-01
2.370632911392361181e-02,-8.467591721791996040e-01
2.773721518987315796e-02,-8.184254831265300734e-01
3.176810126582249594e-02,-8.246569194080148879e-01
3.579898734177183739e-02,-7.836336953222966528e-01
3.982987341772117190e-02,-8.083155220603923663e-01
4.386075949367051335e-02,-7.763191672029978729e-01
4.789164556961984787e-02,-7.758092473528488409e-01
5.192253164556918932e-02,-7.398248048054227866e-01
5.595341772151873200e-02,-7.752205429866261266e-01
5.998430379746807345e-02,-7.287756702601564385e-01
6.401518987341740796e-02,-7.300026448252372457e-01
6.804607594936674941e-02,-7.264639629496323359e-01
7.207696202531609087e-02,-7.091220300441178903e-01
7.610784810126541844e-02,-6.832239847254664156e-01
8.013873417721496806e-02,-7.045166123489154941e-01
8.416962025316430951e-02,-6.744283007505864624e-01
8.820050632911363708e-02,-6.474438996612297270e-01
9.223139240506297853e-02,-6.658894549489953185e-01
9.626227848101231999e-02,-6.124066007769624065e-01
1.002931645569616614e-01,-6.274557713493917888e-01
1.043240506329110029e-01,-6.199174902133295362e-01
1.083549367088605386e-01,-5.974603743525597199e-01
1.123858227848098801e-01,-6.099308183426406238e-01
1.164167088607592215e-01,-5.695574032118453367e-01
1.204475949367085491e-01,-5.876171463436858922e-01
1.244784810126578906e-01,-5.730473863751963659e-01
1.285093670886072459e-01,-5.576808306316196617e-01
1.325402531645565596e-01,-5.440474219454520810e-01
1.365711392405061231e-01,-5.537309968019872297e-01
1.406020253164554645e-01,-5.264268222819692422e-01
1.446329113924047782e-01,-5.091049753647909348e-01
1.486637974683541197e-01,-5.094851784438478859e-01
1.526946835443034611e-01,-4.722876378418656707e-01
1.567255696202528026e-01,-4.839828761971776139e-01
1.607564556962021440e-01,-5.048832276310679656e-01
1.647873417721516798e-01,-4.652251924993335841e-01
1.688182278481010212e-01,-4.543612383744424221e-01
1.728491139240503627e-01,-4.608491578982640835e-01
1.768799999999997041e-01,-4.301935679234798471e-01
1.809108860759490456e-01,-4.443174935778169132e-01
1.849417721518983870e-01,-4.129028487698669370e-01
1.889726582278477285e-01,-4.216584186548668622e-01
1.930035443037972642e-01,-4.085684244028878753e-01
1.970344303797466057e-01,-3.837001652842939592e-01
2.010653164556959471e-01,-4.059152884982439868e-01
2.050962025316452886e-01,-3.649664002309215283e-01
2.091270886075946023e-01,-3.875008628520467679e-01
2.131579746835439437e-01,-3.728834891215596636e-01
2.171888607594932852e-01,-3.651170524728938327e-01
2.212197468354428487e-01,-3.554252499731753723e-01
2.252506329113921624e-01,-3.662444714579323746e-01
2.292815189873415038e-01,-3.380202207265899927e-01
2.333124050632908453e-01,-3.479290491800597351e-01
2.373432911392401867e-01,-3.337732364703165366e-01
2.413741772151895282e-01,-3.167044976494798325e-01
2.454050632911388696e-01,-3.384518455686517102e-01
2.494359493670884054e-01,-3.515058771455848996e-01
2.534668354430377746e-01,-3.012915545326642075e-01
2.574977215189870883e-01,-3.200666374249265811e-01
2.615286075949364020e-01,-3.225777124841845422e-01
2.655594936708857712e-01,-3.218023973170003327e-01
2.695903797468350849e-01,-3.149158484047773765e-01
2.736212658227844541e-01,-3.020831805166002137e-01
2.776521518987339898e-01,-3.174902644935652107e-01
2.816830379746833035e-01,-2.922488784390091521e-01
2.857139240506326727e-01,-3.138298656382833007e-01
2.897448101265819864e-01,-2.766184943627495452e-01
2.937756962025313556e-01,-2.806309345317066217e-01
2.978065822784806693e-01,-2.743502873573430145e-01
3.018374683544300385e-01,-2.850331985431096005e-01
3.058683544303795743e-01,-2.648860045699699128e-01
3.098992405063288880e-01,-2.911704614105893318e-01
3.139301265822782572e-01,-2.544917358365509363e-01
3.179610126582275709e-01,-2.592940796753531174e-01
3.219918987341768846e-01,-2.609386256888899247e-01
3.260227848101262538e-01,-2.414915209872914303e-01
3.300536708860755675e-01,-2.797777008964784651e-01
3.340845569620251587e-01,-2.375315694087443141e-01
3.381154430379744724e-01,-2.707940956580597858e-01
3.421463291139237861e-01,-2.484448906701821613e-01
3.461772151898731553e-01,-2.660208315593846073e-01
3.502081012658224690e-01,-2.458684018033726604e-01
3.542389873417718382e-01,-2.523004084574627104e-01
3.582698734177211519e-01,-2.158771977254729801e-01
3.623007594936706877e-01,-2.533836902684081238e-01
3.663316455696200569e-01,-2.240190562052376544e-01
3.703625316455693706e-01,-2.167604331549981556e-01
3.743934177215187398e-01,-2.377357392182183338e-01
3.784243037974680535e-01,-2.291013574350100335e-01
3.824551898734174227e-01,-1.996056810219093425e-01
3.864860759493667364e-01,-2.270333784727512905e-01
3.905169620253162721e-01,-2.157570357921501092e-01
3.945478481012656413e-01,-2.118597676806928121e-01
3.985787341772149550e-01,-2.244139660987702900e-01
4.026096202531642687e-01,-2.074619508092764297e-01
4.066405063291136379e-01,-2.007203724920538779e-01
4.106713924050629516e-01,-2.092143688166344662e-01
4.147022784810125429e-01,-1.786189089276267739e-01
4.187331645569618566e-01,-1.968595028755387721e-01
4.227640506329111703e-01,-1.992940435945971256e-01
4.267949367088605395e-01,-2.012078899756711836e-01
4.308258227848098532e-01,-1.839509048961370796e-01
4.348567088607592224e-01,-2.025192244370612737e-01
4.388875949367085361e-01,-1.841023412733512332e-01
4.429184810126580718e-01,-1.908757059635332043e-01
4.469493670886074410e-01,-1.789222944855851649e-01
4.509802531645567547e-01,-1.775109247861976769e-01
4.550111392405061239e-01,-1.791611719358996435e-01
4.590420253164554376e-01,-1.774101056824167744e-01
4.630729113924048068e-01,-1.739745555670588750e-01
4.671037974683541205e-01,-1.950253688557843645e-01
4.711346835443036563e-01,-1.621017930706286636e-01
4.751655696202530255e-01,-1.715478171161102239e-01
4.791964556962023392e-01,-1.711586396208034655e-01
4.832273417721516529e-01,-1.875484796917308294e-01
4.872582278481010221e-01,-1.699734075067974581e-01
4.912891139240503358e-01,-1.665344343400966265e-01
4.953199999999997050e-01,-1.662723045912295472e-01
4.993508860759492407e-01,-1.743769636365852804e-01
5.033817721518986099e-01,-1.607158829011617884e-01
5.074126582278478681e-01,-1.582810989056288031e-01
5.114435443037972373e-01,-1.883776490685059590e-01
5.154744303797466065e-01,-1.604996531692254313e-01
5.195053164556959757e-01,-1.685013437087460320e-01
5.235362025316452339e-01,-1.624800595263582448e-01
5.275670886075948252e-01,-1.784803192129694738e-01
5.315979746835441944e-01,-1.518315503488838480e-01
5.356288607594934525e-01,-1.581355726095380332e-01
5.396597468354428218e-01,-1.626953218755329278e-01
5.436906329113921910e-01,-1.724401353183221408e-01
5.477215189873414491e-01,-1.581128570652466925e-01
5.517524050632908184e-01,-1.599473543871907655e-01
5.557832911392404096e-01,-1.778186979075703222e-01
5.598141772151896678e-01,-1.520414699588068519e-01
5.638450632911390370e-01,-1.678638017274818317e-01
5.678759493670884062e-01,-1.708923911748508884e-01
5.719068354430377754e-01,-1.580748702369463299e-01
5.759377215189870336e-01,-1.822359060656977281e-01
5.799686075949364028e-01,-1.961956171594052556e-01
5.839994936708859941e-01,-1.650295522310460949e-01
5.880303797468352522e-01,-1.588200231992382694e-01
5.920612658227846214e-01,-1.718884922825353323e-01
5.960921518987339907e-01,-2.002162470848011244e-01
6.001230379746833599e-01,-2.130170293871550546e-01
6.041539240506326180e-01,-2.085856498880553911e-01
6.081848101265819873e-01,-1.909751519592423064e-01
6.122156962025315785e-01,-2.556597759267363879e-01
6.162465822784808367e-01,-2.256009428716788667e-01
6.202774683544302059e-01,-2.444817562968726321e-01
6.243083544303795751e-01,-2.655543322057473121e-01
6.283392405063288333e-01,-2.416444602710713374e-01
6.323701265822782025e-01,-2.650658840392103865e-01
6.364010126582275717e-01,-2.474499981940599946e-01
6.404318987341770519e-01,-2.578274983907064000e-01
6.444627848101264211e-01,-2.503543052558917514e-01
6.484936708860757903e-01,-2.653154183800291444e-01
6.525245569620251596e-01,-2.437927804953960997e-01
6.565554430379744177e-01,-2.474274448112614433e-01
6.605863291139237869e-01,-2.635718584230356543e-01
6.646172151898731562e-01,-2.626391421174043561e-01
6.686481012658225254e-01,-2.502341484654277970e-01
6.726789873417720056e-01,-2.653742642340031210e-01
6.767098734177213748e-01,-2.562923230505961270e-01
6.807407594936707440e-01,-2.383474977406483397e-01
6.847716455696200022e-01,-2.687243146734671351e-01
6.888025316455694824e-01,-2.426093684524542882e-01
6.928334177215188516e-01,-2.748718394269110687e-01
6.968643037974681098e-01,-2.554403084263463519e-01
7.008951898734175900e-01,-2.551019177617579459e-01
7.049260759493669593e-01,-2.517901578676949859e-01
7.089569620253162174e-01,-2.400879425380091359e-01
7.129878481012655866e-01,-2.439718933337331475e-01
7.170187341772150669e-01,-2.352420982351040024e-01
7.210496202531644361e-01,-2.370168422696922184e-01
7.250805063291136943e-01,-2.229720431801441860e-01
7.291113924050631745e-01,-2.504968544841806866e-01
7.331422784810125437e-01,-2.360713897018201779e-01
7.371731645569618019e-01,-2.287629309107713782e-01
7.412040506329111711e-01,-2.458462604926797690e-01
7.452349367088606513e-01,-2.425231959351648037e-01
7.492658227848099095e-01,-2.180946433636449244e-01
7.532967088607592787e-01,-2.367539036736430180e-01
7.573275949367087589e-01,-2.138214811470456889e-01
7.613584810126581282e-01,-2.144456439355642008e-01
7.653893670886073863e-01,-2.199534205327771108e-01
7.694202531645567555e-01,-2.209998363752192496e-01
7.734511392405062358e-01,-2.185228825291881671e-01
7.774820253164554940e-01,-2.252782867898861507e-01
7.815129113924048632e-01,-2.017486097654065391e-01
7.855437974683543434e-01,-2.101319444212527143e-01
7.895746835443036016e-01,-1.906348186238211451e-01
7.936055696202529708e-01,-2.122424228619994580e-01
7.976364556962023400e-01,-1.744159533948318463e-01
8.016673417721518202e-01,-2.327869540689615491e-01
8.056982278481010784e-01,-1.930477905128358262e-01
8.097291139240504476e-01,-2.063905378322671291e-01
8.137599999999999278e-01,-2.341560864707753487e-01
8.177908860759491860e-01,-1.947003670202955838e-01
8.218217721518985552e-01,-2.076901176700177709e-01
8.258526582278479244e-01,-2.218867884430407722e-01
8.298835443037972937e-01,-2.156729108437561715e-01
8.339144303797466629e-01,-2.240868064280850946e-01
8.379453164556960321e-01,-2.259600681934113009e-01
8.419762025316455123e-01,-2.099013488544450023e-01
8.460070886075947705e-01,-2.279394526739965121e-01
8.500379746835441397e-01,-2.308423973258517670e-01
8.540688607594936199e-01,-2.021199832211075798e-01
8.580997468354428781e-01,-2.118430997974095620e-01
8.621306329113922473e-01,-2.139175173187444212e-01
8.661615189873416165e-01,-2.194220708489657001e-01
8.701924050632909857e-01,-2.075748839246638333e-01
8.742232911392403549e-01,-2.174615208099548447e-01
8.782541772151897241e-01,-2.124180653664049512e-01
8.822850632911392044e-01,-2.114473168724499974e-01
8.863159493670884626e-01,-2.113092619423824203e-01
8.903468354430378318e-01,-1.860037998302982443e-01
8.943777215189872010e-01,-1.947560995821874252e-01
8.984086075949365702e-01,-1.954907533589915758e-01
9.024394936708859394e-01,-1.888899385816925625e-01
9.064703797468353086e-01,-1.889314973123877861e-01
9.105012658227846778e-01,-1.784146806231999283e-01
9.145321518987340470e-01,-1.878530670536426861e-01
9.185630379746834162e-01,-1.615515740182151272e-01
9.225939240506327854e-01,-1.804324829814015763e-01
9.266248101265821546e-01,-1.834972236621882358e-01
9.306556962025315238e-01,-1.615770135266609286e-01
9.346865822784808930e-01,-1.515803083672803142e-01
9.387174683544303733e-01,-1.653931103985027407e-01
9.427483544303795204e-01,-1.352183800460290408e-01
9.467792405063291117e-01,-1.885217505292861029e-01
9.508101265822782588e-01,-1.467696049681543324e-01
9.548410126582277391e-01,-1.495693203590550691e-01
9.588718987341771083e-01,-1.593133712160622051e-01
9.629027848101264775e-01,-1.473584316771979208e-01
9.669336708860759577e-01,-1.418135998352966221e-01
9.709645569620251049e-01,-1.582710624685459422e-01
9.749954430379746961e-01,-1.324864874912188295e-01
9.790263291139237323e-01,-1.491394973493215814e-01
9.830572151898733235e-01,-1.473508868824948137e-01
