#x(nm),y(Hz)
-5.200000000000000178e-01,-3.637411310940868248e+01
-5.158517721518990351e-01,-3.617991859908489971e+01
-5.117035443037978304e-01,-3.599840903935525205e+01
-5.075553164556966257e-01,-3.560512750280846461e+01
-5.034070886075949769e-01,-3.577093871528193603e+01
-4.992588607594937722e-01,-3.568773476998823213e+01
-4.951106329113925120e-01,-3.578891807234722222e+01
-4.909624050632913073e-01,-3.613633418864426261e+01
-4.868141772151901026e-01,-3.528064178602178202e+01
-4.826659493670888423e-01,-3.564772252189286661e+01
-4.785177215189876376e-01,-3.604203480610991051e+01
-4.743694936708864329e-01,-3.494957193315754296e+01
-4.702212658227851727e-01,-3.470844336542390351e+01
-4.660730379746839680e-01,-3.438887268968240107e+01
-4.619248101265823192e-01,-3.410259610326877322e+01
-4.577765822784811145e-01,-3.381083413149466566e+01
-4.536283544303799098e-01,-3.375635811425470934e+01
-4.494801265822786496e-01,-3.314419529375533102e+01
-4.453318987341774449e-01,-3.287094067107852169e+01
-4.411836708860762402e-01,-3.215560477063333877e+01
-4.370354430379749799e-01,-3.132098834261312348e+01
-4.328872151898737752e-01,-3.034177754377974878e+01
-4.287389873417725705e-01,-2.961855173854906198e+01
-4.245907594936709217e-01,-2.817146024420507899e+01
-4.204425316455696615e-01,-2.797838924783433612e+01
-4.162943037974684568e-01,-2.722439053241276596e+01
-4.121460759493672521e-01,-2.545832476383455401e+01
-4.079978481012660474e-01,-2.253837143470012805e+01
-4.038496202531647872e-01,-2.225106457515247982e+01
-3.997013924050635825e-01,-2.286601587058117957e+01
-3.955531645569623778e-01,-2.386445913192174118e+01
-3.914049367088611175e-01,-2.417635537799628054e+01
-3.872567088607599128e-01,-2.383991239695191666e+01
-3.831084810126582640e-01,-2.317803794869952583e+01
-3.789602531645570593e-01,-2.287307743428850415e+01
-3.748120253164557991e-01,-2.291504663691885924e+01
-3.706637974683545944e-01,-2.294330019010948973e+01
-3.665155696202533897e-01,-2.279096604439445173e+01
-3.623673417721521850e-01,-2.274749932780295225e+01
-3.582191139240509248e-01,-2.234715678474029588e+01
-3.540708860759497201e-01,-2.207530980238852081e+01
-3.499226582278485154e-01,-2.154150406341782187e+01
-3.457744303797468666e-01,-2.152410433298489778e+01
-3.416262025316456064e-01,-2.025575051432878482e+01
-3.374779746835444016e-01,-2.099719150813419688e+01
-3.333297468354431969e-01,-2.045611287593618499e+01
-3.291815189873419367e-01,-2.079624883405028513e+01
-3.250332911392407320e-01,-2.032714817364545112e+01
-3.208850632911395273e-01,-1.971587035438830426e+01
-3.167368354430383226e-01,-1.915435513519578947e+01
-3.125886075949370624e-01,-1.867855832858415255e+01
-3.084403797468358577e-01,-1.818188957520562354e+01
-3.042921518987342089e-01,-1.780443597800234201e+01
-3.001439240506330042e-01,-1.721137526351274971e+01
-2.959956962025317440e-01,-1.685490436476171539e+01
-2.918474683544305393e-01,-1.638603555906677656e+01
-2.876992405063293345e-01,-1.607331612874706295e+01
