#x(nm),y(Hz)
-4.799999999999999822e-01,-3.354357820793256195e+01
-4.759299999999997977e-01,-3.305780385641571684e+01
-4.718599999999998351e-01,-3.381098914099194985e+01
-4.677899999999998726e-01,-3.452801479752662317e+01
-4.637199999999999100e-01,-3.442166223850772155e+01
-4.596499999999999475e-01,-3.409758558139427720e+01
-4.555799999999995964e-01,-3.354223943199689728e+01
-4.515099999999996339e-01,-3.276368869374356052e+01
-4.474399999999996713e-01,-3.149644464176532210e+01
-4.433699999999996533e-01,-3.099140949467680528e+01
-4.392999999999996907e-01,-3.106281881162887260e+01
-4.352299999999997282e-01,-2.972943946035735152e+01
-4.311599999999997657e-01,-2.696211439146878774e+01
-4.270899999999998031e-01,-2.487148593334490698e+01
-4.230199999999998406e-01,-2.437369666471739293e+01
-4.189499999999998781e-01,-2.417150734702279635e+01
-4.148799999999999155e-01,-2.402941414535182929e+01
-4.108099999999999530e-01,-2.382190215813485779e+01
-4.067399999999995464e-01,-2.368341139401651674e+01
-4.026699999999995838e-01,-2.361036900531988181e+01
-3.985999999999996213e-01,-2.357838116202049150e+01
-3.945299999999996587e-01,-2.333630916170962877e+01
-3.904599999999996962e-01,-2.288808020114280239e+01
-3.863899999999997337e-01,-2.242109461014030458e+01
-3.823199999999997711e-01,-2.180560544819956448e+01
-3.782499999999998086e-01,-2.101199580573341308e+01
-3.741799999999998461e-01,-2.029808097018667823e+01
-3.701099999999998835e-01,-1.988166736987674099e+01
-3.660399999999999210e-01,-1.924522672470062901e+01
-3.619699999999999585e-01,-1.835846611496653225e+01
-3.578999999999999959e-01,-1.762393975536348023e+01
-3.538299999999995893e-01,-1.711329460499833388e+01
-3.497599999999996268e-01,-1.661807064205014939e+01
-3.456899999999996642e-01,-1.611354896640894907e+01
-3.416199999999997017e-01,-1.570410647906358825e+01
-3.375499999999997391e-01,-1.541695320506777733e+01
-3.334799999999997766e-01,-1.528280700918670298e+01
-3.294099999999998141e-01,-1.512943521519327916e+01
-3.253399999999998515e-01,-1.495933286361618286e+01
-3.212699999999998890e-01,-1.459944020113514007e+01
-3.171999999999998709e-01,-1.427029768040680402e+01
-3.131299999999999084e-01,-1.390950733265868422e+01
-3.090599999999999459e-01,-1.377054279315322738e+01
-3.049899999999995948e-01,-1.362829737774626260e+01
-3.009199999999996322e-01,-1.353667973895158738e+01
-2.968499999999996697e-01,-1.311028155390761540e+01
-2.927799999999997071e-01,-1.250962342149735029e+01
-2.887099999999997446e-01,-1.185264307138205275e+01
-2.846399999999997266e-01,-1.140971734691203565e+01
-2.805699999999997640e-01,-1.109029248195406758e+01
-2.764999999999998015e-01,-1.088846956400863597e+01
-2.724299999999998390e-01,-1.074329846388630827e+01
-2.683599999999998764e-01,-1.061225894085199073e+01
-2.642899999999999139e-01,-1.045990479890974356e+01
-2.602199999999997293e-01,-1.028337665529712730e+01
-2.561499999999997668e-01,-1.009714225623694617e+01
-2.520799999999998042e-01,-9.929400403332181213e+00
-2.480099999999998417e-01,-9.765024336555647722e+00
-2.439399999999998792e-01,-9.567867724354467640e+00
-2.398699999999997223e-01,-9.328627109767072767e+00
-2.357999999999997320e-01,-9.070621095600621686e+00
-2.317299999999997695e-01,-8.814356297107167393e+00
-2.276599999999998070e-01,-8.591515035125828703e+00
-2.235899999999998444e-01,-8.328855181838253685e+00
-2.195199999999998819e-01,-8.073719843338707847e+00
-2.154499999999996973e-01,-7.806669419479389305e+00
-2.113799999999997348e-01,-7.566930707621131624e+00
-2.073099999999997722e-01,-7.337050166657987482e+00
-2.032399999999998097e-01,-7.036980744931526033e+00
-1.991699999999998472e-01,-6.714994574143033468e+00
-1.950999999999998846e-01,-6.417105944597376599e+00
-1.910299999999997000e-01,-6.229515603198084506e+00
-1.869599999999997375e-01,-5.907325914980688708e+00
-1.828899999999997750e-01,-5.555234092838587934e+00
-1.788199999999998124e-01,-5.184313531220528404e+00
-1.747499999999998221e-01,-4.836826751231008359e+00
-1.706799999999998596e-01,-4.432918659562020025e+00
-1.666099999999998971e-01,-4.089004405833801314e+00
-1.625399999999997402e-01,-3.820429328043950079e+00
-1.584699999999997777e-01,-3.618381610655196035e+00
-1.543999999999997874e-01,-3.456642516794706133e+00
-1.503299999999998249e-01,-3.325069409489941119e+00
-1.462599999999998623e-01,-3.198688223188852042e+00
-1.421899999999998998e-01,-3.067388767371821867e+00
-1.381199999999997152e-01,-2.918487940772471312e+00
-1.340499999999997527e-01,-2.801785511290044717e+00
-1.299799999999997902e-01,-2.690918905033584885e+00
-1.259099999999998276e-01,-2.592677074626554834e+00
-1.218399999999998651e-01,-2.489388440917207568e+00
-1.177699999999998887e-01,-2.408903694092558556e+00
-1.136999999999997180e-01,-2.329567640255845618e+00
-1.096299999999997554e-01,-2.258031933650065159e+00
-1.055599999999997929e-01,-2.193275170254784356e+00
-1.014899999999998165e-01,-2.125065518410538701e+00
-9.741999999999985393e-02,-2.054422547133866850e+00
-9.334999999999989140e-02,-1.965016239250545027e+00
-8.927999999999972069e-02,-1.905907069638253182e+00
-8.520999999999974428e-02,-1.865150216431930019e+00
-8.113999999999978174e-02,-1.815830735946481589e+00
-7.706999999999981921e-02,-1.731631338893365069e+00
-7.299999999999985667e-02,-1.680554933233920245e+00
-6.892999999999988026e-02,-1.631962321308903618e+00
-6.485999999999991772e-02,-1.581793117773812485e+00
-6.078999999999974702e-02,-1.517178151092931193e+00
-5.671999999999977754e-02,-1.471537745946875919e+00
-5.264999999999981500e-02,-1.431080869979842074e+00
-4.857999999999984553e-02,-1.397602932380136886e+00
-4.450999999999988299e-02,-1.347642358342585389e+00
-4.043999999999991352e-02,-1.300945347186153400e+00
-3.636999999999974281e-02,-1.267761346028199121e+00
-3.229999999999977334e-02,-1.226166766491094240e+00
-2.822999999999980733e-02,-1.192192330286006685e+00
-2.415999999999984132e-02,-1.167762659505301670e+00
-2.008999999999987532e-02,-1.153653967465597230e+00
-1.601999999999990931e-02,-1.119921699703743556e+00
-1.194999999999973687e-02,-1.092785955771521378e+00
-7.879999999999770868e-03,-1.061671297630096600e+00
-3.809999999999803995e-03,-1.041468433969928498e+00
2.600000000001624449e-04,-1.017173484201538081e+00
4.330000000000128885e-03,-9.895671513637710470e-01
8.400000000000094891e-03,-9.671182769384750744e-01
1.247000000000026733e-02,-9.516386847886516565e-01
1.654000000000023507e-02,-9.335037904409466680e-01
2.061000000000020108e-02,-9.133935676014811600e-01
2.468000000000016708e-02,-8.847346045999369135e-01
2.875000000000013309e-02,-8.641067620258777726e-01
3.282000000000009909e-02,-8.448375417994060665e-01
3.689000000000006857e-02,-8.362730629171295504e-01
4.096000000000023927e-02,-8.154995225567380768e-01
4.503000000000020875e-02,-8.015652134320599975e-01
