#x(nm),y(Hz)
-4.799999999999999822e-01,-3.359475876219262602e+01
-4.759299999999997977e-01,-3.285308163937545345e+01
-4.718599999999998351e-01,-3.411807246655234849e+01
-4.677899999999998726e-01,-3.445121776723124896e+01
-4.637199999999999100e-01,-3.449664286312469130e+01
-4.596499999999999475e-01,-3.400250772249916764e+01
-4.555799999999995964e-01,-3.359174626748585979e+01
-4.515099999999996339e-01,-3.277805073310631201e+01
-4.474399999999996713e-01,-3.165269310175327888e+01
-4.433699999999996533e-01,-3.047450248171829656e+01
-4.392999999999996907e-01,-3.132520668115236262e+01
-4.352299999999997282e-01,-3.025595169035715770e+01
-4.311599999999997657e-01,-2.637907531074176504e+01
-4.270899999999998031e-01,-2.494955802704631154e+01
-4.230199999999998406e-01,-2.442025771552897240e+01
-4.189499999999998781e-01,-2.415487334563096766e+01
-4.148799999999999155e-01,-2.406031614626198945e+01
-4.108099999999999530e-01,-2.384943399676033238e+01
-4.067399999999995464e-01,-2.359559812041619153e+01
-4.026699999999995838e-01,-2.369338452448361210e+01
-3.985999999999996213e-01,-2.351288102421285231e+01
-3.945299999999996587e-01,-2.339268982509768335e+01
-3.904599999999996962e-01,-2.290724485820940615e+01
-3.863899999999997337e-01,-2.228875446081329059e+01
-3.823199999999997711e-01,-2.199301463595163852e+01
-3.782499999999998086e-01,-2.093185297785158028e+01
-3.741799999999998461e-01,-2.020353760451443392e+01
-3.701099999999998835e-01,-1.997133697532014196e+01
-3.660399999999999210e-01,-1.929551361680577060e+01
-3.619699999999999585e-01,-1.828247545234803795e+01
-3.578999999999999959e-01,-1.762531081321693804e+01
-3.538299999999995893e-01,-1.713055030013331859e+01
-3.497599999999996268e-01,-1.662072018877503154e+01
-3.456899999999996642e-01,-1.611966319806139580e+01
-3.416199999999997017e-01,-1.568213342536868993e+01
-3.375499999999997391e-01,-1.543421767068504735e+01
-3.334799999999997766e-01,-1.524565044089146149e+01
-3.294099999999998141e-01,-1.518758500840373316e+01
-3.253399999999998515e-01,-1.489768134885983741e+01
-3.212699999999998890e-01,-1.469201369201971730e+01
-3.171999999999998709e-01,-1.416738859548595286e+01
-3.131299999999999084e-01,-1.400063667718118410e+01
-3.090599999999999459e-01,-1.366798256428478453e+01
-3.049899999999995948e-01,-1.370882657007195071e+01
-3.009199999999996322e-01,-1.346603300435269901e+01
-2.968499999999996697e-01,-1.322197342073672743e+01
-2.927799999999997071e-01,-1.243480746918004343e+01
-2.887099999999997446e-01,-1.186576657931163581e+01
-2.846399999999997266e-01,-1.140322940372524663e+01
-2.805699999999997640e-01,-1.108868218752643386e+01
-2.764999999999998015e-01,-1.088791850530822281e+01
-2.724299999999998390e-01,-1.074794516334125483e+01
-2.683599999999998764e-01,-1.060933994972467964e+01
-2.642899999999999139e-01,-1.046689214619868125e+01
-2.602199999999997293e-01,-1.028133613801816537e+01
-2.561499999999997668e-01,-1.009492536214229652e+01
-2.520799999999998042e-01,-9.926107220609022619e+00
-2.480099999999998417e-01,-9.767465351018710606e+00
-2.439399999999998792e-01,-9.573162925868203388e+00
-2.398699999999997223e-01,-9.325841619723409082e+00
