#x(nm),y(Hz)
-5.400000000000001465e-01,-4.366809831890532934e+01
-5.358126582278484040e-01,-3.820739763976286696e+01
-5.316253164556963284e-01,-3.864248995689496269e+01
-5.274379746835446969e-01,-3.820625830160624758e+01
-5.232506329113926213e-01,-3.791035681657368173e+01
-5.190632911392405457e-01,-3.787831293057234205e+01
-5.148759493670889142e-01,-3.579424327096604941e+01
-5.106886075949368387e-01,-3.756568719637031251e+01
-5.065012658227847631e-01,-3.912654787684675739e+01
-5.023139240506331316e-01,-3.860071026486536994e+01
-4.981265822784810560e-01,-3.861244571022537286e+01
-4.939392405063294245e-01,-3.799699392618402527e+01
-4.897518987341773489e-01,-3.826003935185195814e+01
-4.855645569620253288e-01,-3.770242551768455996e+01
-4.813772151898736973e-01,-3.750038947089408481e+01
-4.771898734177216217e-01,-3.665610804350795604e+01
-4.730025316455699902e-01,-3.599710668441932881e+01
-4.688151898734179146e-01,-3.566899487926210099e+01
-4.646278481012658390e-01,-3.496547604410850596e+01
-4.604405063291142075e-01,-3.498937343754065665e+01
-4.562531645569621319e-01,-3.459866874870876785e+01
-4.520658227848101118e-01,-3.495949149305084802e+01
-4.478784810126584248e-01,-3.456256380293704922e+01
-4.436911392405064047e-01,-3.439882371779906123e+01
-4.395037974683547732e-01,-3.406862699193693089e+01
-4.353164556962026976e-01,-3.137376515036380908e+01
-4.311291139240506221e-01,-2.860717342987086909e+01
-4.269417721518989906e-01,-2.642764798549482208e+01
-4.227544303797469150e-01,-2.497523794145359233e+01
-4.185670886075948949e-01,-2.390937024405614153e+01
-4.143797468354432079e-01,-2.300432947868326394e+01
-4.101924050632911878e-01,-2.236349486318522750e+01
-4.060050632911395563e-01,-2.173328051881139444e+01
-4.018177215189874807e-01,-2.117973646572389868e+01
-3.976303797468354051e-01,-2.047786889177224268e+01
-3.934430379746837736e-01,-1.979992246121119948e+01
-3.892556962025316980e-01,-1.923665679123851646e+01
-3.850683544303800665e-01,-1.853018828131100904e+01
-3.808810126582279909e-01,-1.818617619725394974e+01
-3.766936708860759708e-01,-1.750040831876796332e+01
-3.725063291139242838e-01,-1.712838291480996489e+01
-3.683189873417722637e-01,-1.680802676786229455e+01
-3.641316455696201881e-01,-1.650511757851096917e+01
-3.599443037974685566e-01,-1.663642831493682550e+01
-3.557569620253164810e-01,-1.428024664905407803e+01
-3.515696202531648495e-01,-1.440448741679251299e+01
-3.473822784810127740e-01,-1.414815258462449066e+01
-3.431949367088607539e-01,-1.384579095457715958e+01
-3.390075949367090669e-01,-1.364807432991467095e+01
-3.348202531645570468e-01,-1.325723140182271109e+01
-3.306329113924054153e-01,-1.263882910823604711e+01
-3.264455696202533397e-01,-1.187314994993418438e+01
-3.222582278481012641e-01,-1.134450316365706257e+01
-3.180708860759496326e-01,-1.088781809980484638e+01
