#x(nm),y(Hz)
-4.799999999999999822e-01,-4.241195615649237283e+01
-4.759301265822785121e-01,-4.300126592478255816e+01
-4.718602531645568199e-01,-2.962630199325375813e+01
-4.677903797468355163e-01,-3.753756647143026726e+01
-4.637205063291138241e-01,-3.698487924978408614e+01
-4.596506329113925204e-01,-3.713333507408177780e+01
-4.555807594936708282e-01,-3.570437174845542927e+01
-4.515108860759495246e-01,-3.515847610968932457e+01
-4.474410126582278324e-01,-3.482467323491808742e+01
-4.433711392405061402e-01,-3.451146765639958147e+01
-4.393012658227848366e-01,-3.419637622479663008e+01
-4.352313924050631444e-01,-3.378189382332072199e+01
-4.311615189873418408e-01,-3.327858019230917819e+01
-4.270916455696201486e-01,-3.281235293603094050e+01
-4.230217721518988450e-01,-3.243855284898809543e+01
-4.189518987341771528e-01,-3.206030546435361828e+01
-4.148820253164558491e-01,-3.167272587380757898e+01
-4.108121518987341569e-01,-3.125115897211392024e+01
-4.067422784810124647e-01,-3.077686697941992833e+01
-4.026724050632911611e-01,-3.011003566156832534e+01
-3.986025316455694689e-01,-2.595594115563232762e+01
-3.945326582278482208e-01,-2.494676463933770094e+01
-3.904627848101264731e-01,-2.038471144218363662e+01
-3.863929113924052250e-01,-1.066211768508619251e+01
-3.823230379746834773e-01,-1.294179725376622869e+01
-3.782531645569617851e-01,-1.281825529248835238e+01
-3.741832911392405370e-01,-1.285292541281800816e+01
-3.701134177215187893e-01,-1.187947545545097228e+01
-3.660435443037975412e-01,-1.156007106285565555e+01
-3.619736708860758490e-01,-1.125721661002865659e+01
-3.579037974683545453e-01,-1.096369006320797013e+01
-3.538339240506328531e-01,-1.042717207804667368e+01
-3.497640506329115495e-01,-1.028934742071670527e+01
-3.456941772151898573e-01,-9.983183308299029335e+00
-3.416243037974681651e-01,-9.506198244932335228e+00
-3.375544303797468615e-01,-9.377522538337153435e+00
-3.334845569620251693e-01,-9.290272648578930870e+00
-3.294146835443038657e-01,-9.107992793884179150e+00
-3.253448101265821735e-01,-8.747813396848520995e+00
-3.212749367088608698e-01,-9.018095041243535448e+00
-3.172050632911391777e-01,-9.677141993719930113e+00
-3.131351898734178740e-01,-8.833180604239982969e+00
-3.090653164556961818e-01,-9.355700696903111790e+00
-3.049954430379744896e-01,-8.619916184041132468e+00
-3.009255696202531860e-01,-8.960670775277010947e+00
-2.968556962025314938e-01,-8.835658041788059691e+00
-2.927858227848101902e-01,-8.936590003189275322e+00
-2.887159493670884980e-01,-8.764332699765226664e+00
-2.846460759493671944e-01,-8.946717495972508871e+00
-2.805762025316455022e-01,-8.691628244816246962e+00
-2.765063291139242541e-01,-9.027715923473921933e+00
-2.724364556962025063e-01,-8.631276454858793912e+00
-2.683665822784808141e-01,-8.521655489978170905e+00
-2.642967088607595660e-01,-8.441104253814357250e+00
-2.602268354430380404e-01,-8.717013945321168578e+00
-2.561569620253163482e-01,-8.274876027287545455e+00
-2.520870886075948225e-01,-8.354542842466621266e+00
-2.480172151898733524e-01,-8.118519925554963379e+00
-2.439473417721518544e-01,-8.175214943662972189e+00
-2.398774683544303565e-01,-7.828707481236178545e+00
-2.358075949367088586e-01,-7.667669130211593576e+00
-2.317377215189873607e-01,-7.592796102755827725e+00
-2.276678481012658906e-01,-7.141271209276941256e+00
-2.235979746835441706e-01,-6.781542226641937177e+00
-2.195281012658226727e-01,-6.465168739909840312e+00
-2.154582278481012025e-01,-6.004483833815659644e+00
-2.113883544303797046e-01,-5.672763486519704301e+00
-2.073184810126582067e-01,-5.247382059456205283e+00
-2.032486075949367088e-01,-4.984016774790294591e+00
-1.991787341772152109e-01,-4.696626342771457630e+00
-1.951088607594937130e-01,-4.329801208316737871e+00
-1.910389873417722151e-01,-4.092606959325773452e+00
-1.869691139240505229e-01,-3.764106092439670981e+00
-1.828992405063290250e-01,-3.499732429396606115e+00
-1.788293670886075271e-01,-3.275834721995592780e+00
-1.747594936708860291e-01,-3.063617376228778610e+00
-1.706896202531645312e-01,-2.862206243195678734e+00
-1.666197468354430333e-01,-2.762222248709819361e+00
-1.625498734177215632e-01,-2.611508249895149625e+00
-1.584800000000000653e-01,-2.537502587468752679e+00
-1.544101265822785674e-01,-2.424245941411236949e+00
-1.503402531645568474e-01,-2.390326102296344679e+00
-1.462703797468353772e-01,-2.298819877706776094e+00
-1.422005063291138793e-01,-2.250403675669786718e+00
-1.381306329113923814e-01,-2.181419693410502347e+00
-1.340607594936708835e-01,-2.125048482787730286e+00
-1.299908860759493856e-01,-2.100543952484509980e+00
-1.259210126582278877e-01,-2.041627770380567419e+00
-1.218511392405064037e-01,-2.016490273347534501e+00
-1.177812658227846976e-01,-1.979117760321178476e+00
-1.137113924050631997e-01,-1.957654380244570502e+00
-1.096415189873417018e-01,-1.920854310019980415e+00
-1.055716455696202177e-01,-1.877631555264837271e+00
-1.015017721518987198e-01,-1.871239189108232059e+00
-9.743189873417722191e-02,-1.822995549292742101e+00
-9.336202531645572400e-02,-1.830672160353372657e+00
-8.929215189873423997e-02,-1.770868650027114688e+00
