#x(nm),y(Hz)
-4.799999999999999822e-01,-3.291710048181837323e+01
-4.759299999999997977e-01,-3.290531501553079607e+01
-4.718599999999998351e-01,-3.246850618149419887e+01
-4.677899999999998726e-01,-3.246279107813040099e+01
-4.637199999999999100e-01,-3.215760056028593539e+01
-4.596499999999999475e-01,-3.185346439647968353e+01
-4.555799999999995964e-01,-3.159422463858213703e+01
-4.515099999999996339e-01,-3.312208388416189564e+01
-4.474399999999996713e-01,-3.229523923015108977e+01
-4.433699999999996533e-01,-3.163165167283708712e+01
-4.392999999999996907e-01,-3.009932248247340070e+01
-4.352299999999997282e-01,-2.948059101915060154e+01
-4.311599999999997657e-01,-2.903671903921233621e+01
-4.270899999999998031e-01,-2.825285153212242761e+01
-4.230199999999998406e-01,-2.768603459391825794e+01
-4.189499999999998781e-01,-2.688278685275344060e+01
-4.148799999999999155e-01,-2.523002772298349328e+01
-4.108099999999999530e-01,-2.174658728060203572e+01
-4.067399999999995464e-01,-1.963294421698171277e+01
-4.026699999999995838e-01,-2.254813265149444490e+01
-3.985999999999996213e-01,-2.435473707405312283e+01
-3.945299999999996587e-01,-2.415115664562041431e+01
-3.904599999999996962e-01,-2.281549965294798454e+01
-3.863899999999997337e-01,-2.151993646192741849e+01
-3.823199999999997711e-01,-2.144398154173943283e+01
-3.782499999999998086e-01,-2.139495025960144758e+01
-3.741799999999998461e-01,-2.075927253249388116e+01
-3.701099999999998835e-01,-2.067458614256471705e+01
-3.660399999999999210e-01,-2.080907076144941925e+01
-3.619699999999999585e-01,-2.066464482286451698e+01
-3.578999999999999959e-01,-2.033774586966240960e+01
-3.538299999999995893e-01,-2.028973448403300139e+01
-3.497599999999996268e-01,-2.006732152345744780e+01
-3.456899999999996642e-01,-1.982800553159557566e+01
-3.416199999999997017e-01,-1.959603845145979761e+01
-3.375499999999997391e-01,-1.949259581554469989e+01
-3.334799999999997766e-01,-1.949769964451579085e+01
-3.294099999999998141e-01,-1.946537857600755572e+01
-3.253399999999998515e-01,-1.943797193218653874e+01
-3.212699999999998890e-01,-1.910612335425639330e+01
-3.171999999999998709e-01,-1.898115265001011664e+01
-3.131299999999999084e-01,-1.858092225829099320e+01
-3.090599999999999459e-01,-1.807977870120910424e+01
-3.049899999999995948e-01,-1.772868196052908374e+01
-3.009199999999996322e-01,-1.748241526467261053e+01
-2.968499999999996697e-01,-1.751434731371202247e+01
-2.927799999999997071e-01,-1.732503154575944038e+01
-2.887099999999997446e-01,-1.725725257878867680e+01
-2.846399999999997266e-01,-1.699824310297832142e+01
-2.805699999999997640e-01,-1.662311221901765990e+01
-2.764999999999998015e-01,-1.604856924825111619e+01
-2.724299999999998390e-01,-1.543275434013551539e+01
-2.683599999999998764e-01,-1.461824730639411385e+01
-2.642899999999999139e-01,-1.390883232423212590e+01
-2.602199999999997293e-01,-1.321753513530105195e+01
-2.561499999999997668e-01,-1.249447743635700547e+01
-2.520799999999998042e-01,-1.188982977947033604e+01
-2.480099999999998417e-01,-1.100139857142320921e+01
-2.439399999999998792e-01,-1.047416450611399519e+01
-2.398699999999997223e-01,-9.771851783318638240e+00
-2.357999999999997320e-01,-9.192719198494645028e+00
-2.317299999999997695e-01,-8.843923781769523984e+00
-2.276599999999998070e-01,-8.471900171161948379e+00
-2.235899999999998444e-01,-8.076337261855675465e+00
-2.195199999999998819e-01,-7.768905369893562174e+00
-2.154499999999996973e-01,-7.578550624517642831e+00
-2.113799999999997348e-01,-7.395674775624558883e+00
-2.073099999999997722e-01,-7.244704855804203980e+00
-2.032399999999998097e-01,-7.078263324398980316e+00
-1.991699999999998472e-01,-6.969264565277154766e+00
-1.950999999999998846e-01,-6.831643391962510137e+00
-1.910299999999997000e-01,-6.706635331382860166e+00
-1.869599999999997375e-01,-6.582378493311279222e+00
-1.828899999999997750e-01,-6.455531787951849232e+00
-1.788199999999998124e-01,-6.330638280565235476e+00
-1.747499999999998221e-01,-6.126936164916081395e+00
-1.706799999999998596e-01,-5.967799538555335737e+00
-1.666099999999998971e-01,-5.677174323669665235e+00
-1.625399999999997402e-01,-5.452194540578561899e+00
-1.584699999999997777e-01,-5.149007844419274171e+00
-1.543999999999997874e-01,-4.767075385671663668e+00
-1.503299999999998249e-01,-4.483988376942644294e+00
-1.462599999999998623e-01,-4.196651117604901948e+00
-1.421899999999998998e-01,-3.747847313297357097e+00
-1.381199999999997152e-01,-3.452217498066050716e+00
-1.340499999999997527e-01,-3.219086196723613291e+00
-1.299799999999997902e-01,-3.019049390063241578e+00
-1.259099999999998276e-01,-2.779297442372995697e+00
-1.218399999999998651e-01,-2.661124452472061197e+00
-1.177699999999998887e-01,-2.518017634526439785e+00
-1.136999999999997180e-01,-2.392388824345728970e+00
-1.096299999999997554e-01,-2.246784902466407718e+00
