#x(nm),y(Hz)
-5.200000000000000178e-01,-3.642339794052031721e+01
-5.158517721518990351e-01,-3.608240297150410925e+01
-5.117035443037978304e-01,-3.576022232224711672e+01
-5.075553164556966257e-01,-3.563361124161313853e+01
-5.034070886075949769e-01,-3.570619818393728906e+01
-4.992588607594937722e-01,-3.585017284185492770e+01
-4.951106329113925120e-01,-3.563311348119124489e+01
-4.909624050632913073e-01,-3.576988332053497999e+01
-4.868141772151901026e-01,-3.557688915891140624e+01
-4.826659493670888423e-01,-3.552415624334363997e+01
-4.785177215189876376e-01,-3.538364546449101056e+01
-4.743694936708864329e-01,-3.500050328049648840e+01
-4.702212658227851727e-01,-3.447609234875157824e+01
-4.660730379746839680e-01,-3.460041710046208863e+01
-4.619248101265823192e-01,-3.506090929284643209e+01
-4.577765822784811145e-01,-3.490408618174753741e+01
-4.536283544303799098e-01,-3.447907111046394846e+01
-4.494801265822786496e-01,-3.435094699522623785e+01
-4.453318987341774449e-01,-3.411894068532163971e+01
-4.411836708860762402e-01,-3.247263716429431213e+01
-4.370354430379749799e-01,-3.011471852585493281e+01
-4.328872151898737752e-01,-2.832605012631301378e+01
-4.287389873417725705e-01,-2.724289337748511741e+01
-4.245907594936709217e-01,-2.571833216018729473e+01
-4.204425316455696615e-01,-2.437458545834610035e+01
-4.162943037974684568e-01,-2.342127341071833513e+01
-4.121460759493672521e-01,-2.262874900041006754e+01
-4.079978481012660474e-01,-2.202703216229549810e+01
-4.038496202531647872e-01,-2.143445852040567345e+01
-3.997013924050635825e-01,-2.086399192756788423e+01
-3.955531645569623778e-01,-2.020798183525299407e+01
-3.914049367088611175e-01,-1.964114367454688193e+01
-3.872567088607599128e-01,-1.913974950558721844e+01
-3.831084810126582640e-01,-1.883710130520231019e+01
-3.789602531645570593e-01,-1.846074583803279623e+01
-3.748120253164557991e-01,-1.818459743322504352e+01
-3.706637974683545944e-01,-1.786687833932855440e+01
-3.665155696202533897e-01,-1.725403685826677247e+01
-3.623673417721521850e-01,-1.640824524757588421e+01
-3.582191139240509248e-01,-1.577482668207586514e+01
-3.540708860759497201e-01,-1.544566826126922976e+01
-3.499226582278485154e-01,-1.506920238223035469e+01
-3.457744303797468666e-01,-1.510823545389629174e+01
-3.416262025316456064e-01,-1.523549170259073549e+01
-3.374779746835444016e-01,-1.429568889831866585e+01
-3.333297468354431969e-01,-1.264566230694829230e+01
-3.291815189873419367e-01,-1.135123765613047020e+01
-3.250332911392407320e-01,-1.076513465531441582e+01
-3.208850632911395273e-01,-1.013888071830869464e+01
-3.167368354430383226e-01,-9.651685286860402613e+00
-3.125886075949370624e-01,-9.317829632658376937e+00
-3.084403797468358577e-01,-9.129183590564228012e+00
-3.042921518987342089e-01,-8.971102539882766180e+00
-3.001439240506330042e-01,-8.832227690157029798e+00
-2.959956962025317440e-01,-8.630476009427342277e+00
-2.918474683544305393e-01,-8.490287121871078924e+00
-2.876992405063293345e-01,-8.360380528988864413e+00
-2.835510126582280743e-01,-8.311830893806824605e+00
-2.794027848101268696e-01,-8.139769445075289767e+00
-2.752545569620256649e-01,-7.904260860190094995e+00
-2.711063291139244602e-01,-7.656162778383132306e+00
-2.669581012658228114e-01,-7.538045527267399848e+00
-2.628098734177217732e-01,-7.460209741773450531e+00
-2.586616455696203465e-01,-7.396945746056751148e+00
-2.545134177215191418e-01,-7.313399194330047592e+00
-2.503651898734178816e-01,-7.227579071847892500e+00
-2.462169620253166769e-01,-7.137233242693104884e+00
-2.420687341772154721e-01,-7.044614296331993764e+00
-2.379205063291140454e-01,-6.930895157766560288e+00
-2.337722784810128129e-01,-6.814627950606489293e+00
-2.296240506329115805e-01,-6.685769141936155791e+00
-2.254758227848103758e-01,-6.563804653548322321e+00
-2.213275949367091433e-01,-6.405295576775346333e+00
-2.171793670886077166e-01,-6.257609290902747645e+00
-2.130311392405064841e-01,-6.079120299480071488e+00
-2.088829113924052794e-01,-5.876308003085733311e+00
-2.047346835443040469e-01,-5.641131218104629141e+00
-2.005864556962028145e-01,-5.439534771884414255e+00
-1.964382278481013877e-01,-5.266618758442037418e+00
-1.922900000000001830e-01,-5.057302680691085683e+00
