#x(nm),y(nN)
-4.799999999999999822e-01,-9.416798450991269220e+00
-4.759301265822785121e-01,-9.750108715309830032e+00
-4.718602531645568199e-01,-9.470852200988652214e+00
-4.677903797468355163e-01,-9.725100001808705485e+00
-4.637205063291138241e-01,-8.795380708051423468e+00
-4.596506329113925204e-01,-1.647695743305802907e+01
-4.555807594936708282e-01,-1.016539689119956158e+01
-4.515108860759495246e-01,-8.560941266551788331e+00
-4.474410126582278324e-01,-5.328128577140615718e+00
-4.433711392405061402e-01,-5.621803474261862554e+00
-4.393012658227848366e-01,-4.923472585428982917e+00
-4.352313924050631444e-01,-3.742240225701477740e+00
-4.311615189873418408e-01,-3.594081816579109745e+00
-4.270916455696201486e-01,-3.435695929053422581e+00
-4.230217721518988450e-01,-3.311002793201267558e+00
-4.189518987341771528e-01,-3.231223307606691186e+00
-4.148820253164558491e-01,-3.343766680704653105e+00
-4.108121518987341569e-01,-3.026514227495708642e+00
-4.067422784810124647e-01,-3.012927435442259938e+00
-4.026724050632911611e-01,-2.804951720741535759e+00
-3.986025316455694689e-01,-2.795704274552079927e+00
-3.945326582278482208e-01,-3.020962316582900264e+00
-3.904627848101264731e-01,-2.709069400851431109e+00
-3.863929113924052250e-01,-2.578055526769680750e+00
-3.823230379746834773e-01,-3.115508420478795060e+00
-3.782531645569617851e-01,-2.175693261069241657e+00
-3.741832911392405370e-01,-3.342543556100516788e+00
-3.701134177215187893e-01,-1.404389538387629699e+00
-3.660435443037975412e-01,-5.033978998651526204e+00
-3.619736708860758490e-01,1.118448103791648052e+00
-3.579037974683545453e-01,-6.019268569628761334e+00
-3.538339240506328531e-01,-3.867347144013243643e+00
-3.497640506329115495e-01,-1.698377312224647273e+00
-3.456941772151898573e-01,-1.473671080568916159e+00
-3.416243037974681651e-01,-1.544298616660668921e+00
-3.375544303797468615e-01,-1.458954383062542437e+00
-3.334845569620251693e-01,-1.437206422884145018e+00
-3.294146835443038657e-01,-1.256630812150113297e+00
-3.253448101265821735e-01,-1.179444795931755996e+00
-3.212749367088608698e-01,-1.141147987717887169e+00
-3.172050632911391777e-01,-1.078327435402243184e+00
-3.131351898734178740e-01,-1.078632899164560621e+00
-3.090653164556961818e-01,-1.150028290460326952e+00
-3.049954430379744896e-01,-1.124864341496134124e+00
-3.009255696202531860e-01,-1.081273969123720535e+00
-2.968556962025314938e-01,-1.118941083298585548e+00
-2.927858227848101902e-01,-1.111238794655158513e+00
-2.887159493670884980e-01,-1.090216704129599146e+00
-2.846460759493671944e-01,-1.142483733830369275e+00
-2.805762025316455022e-01,-1.091331762198134880e+00
-2.765063291139242541e-01,-1.098327049387352261e+00
-2.724364556962025063e-01,-1.047498826008648853e+00
-2.683665822784808141e-01,-1.115142936171991117e+00
-2.642967088607595660e-01,-9.271804026505338081e-01
-2.602268354430380404e-01,-9.406003709408675695e-01
-2.561569620253163482e-01,-8.638076634589507696e-01
-2.520870886075948225e-01,-8.308526541804328591e-01
-2.480172151898733524e-01,-7.856036003329888162e-01
-2.439473417721518544e-01,-7.353559165016035903e-01
-2.398774683544303565e-01,-6.107241635791573753e-01
-2.358075949367088586e-01,-7.292709697368467969e-01
-2.317377215189873607e-01,-6.135711731421713555e-01
-2.276678481012658906e-01,-6.251804993777279051e-01
-2.235979746835441706e-01,-7.120164569891720419e-01
-2.195281012658226727e-01,-6.516587327635936511e-01
-2.154582278481012025e-01,-4.746807987808596696e-01
-2.113883544303797046e-01,-5.195674411375873492e-01
-2.073184810126582067e-01,-4.654590196473470387e-01
-2.032486075949367088e-01,-4.642946508983274989e-01
-1.991787341772152109e-01,-4.941835661246225531e-01
-1.951088607594937130e-01,-4.306950312773465406e-01
-1.910389873417722151e-01,-4.160834818017159487e-01
-1.869691139240505229e-01,-4.181032595956479248e-01
-1.828992405063290250e-01,-3.881233702805820251e-01
-1.788293670886075271e-01,-3.992178073450716180e-01
-1.747594936708860291e-01,-3.597478229061237820e-01
-1.706896202531645312e-01,-3.787460383212258308e-01
-1.666197468354430333e-01,-3.483105043561959824e-01
-1.625498734177215632e-01,-3.908271838071368798e-01
-1.584800000000000653e-01,-3.276168032204080371e-01
-1.544101265822785674e-01,-2.966209554733665321e-01
-1.503402531645568474e-01,-2.917649750060219427e-01
-1.462703797468353772e-01,-3.117671908289585958e-01
-1.422005063291138793e-01,-2.621797735578694777e-01
-1.381306329113923814e-01,-3.364993320029108226e-01
-1.340607594936708835e-01,-2.448797631012074316e-01
-1.299908860759493856e-01,-3.333308512276462743e-01
-1.259210126582278877e-01,-2.631305244381608177e-01
-1.218511392405064037e-01,-2.341219161579996266e-01
-1.177812658227846976e-01,-3.028698783881732526e-01
-1.137113924050631997e-01,-1.936941070387027675e-01
-1.096415189873417018e-01,-2.549437555784472287e-01
-1.055716455696202177e-01,-2.269777529178658437e-01
-1.015017721518987198e-01,-2.384204817119111308e-01
-9.743189873417722191e-02,-1.745474473900259227e-01
-9.336202531645572400e-02,-2.356585459065439758e-01
-8.929215189873423997e-02,-1.938738676145553563e-01
-8.522227848101274206e-02,-1.936223371772437529e-01
-8.115240506329103598e-02,-1.838362185762150436e-01
-7.708253164556953807e-02,-2.093603704427897116e-01
-7.301265822784805404e-02,-2.003711843463876763e-01
-6.894278481012655613e-02,-1.563543521281895998e-01
-6.487291139240505822e-02,-2.307402817904465053e-01
-6.080303797468356725e-02,-1.728295937165038598e-01
-5.673316455696206934e-02,-1.810992663724894924e-01
-5.266329113924057143e-02,-1.479977969262065984e-01
-4.859341772151887229e-02,-1.938549963633399709e-01
-4.452354430379738132e-02,-1.423690007832941751e-01
-4.045367088607588341e-02,-1.749150601222428381e-01
-3.638379746835439243e-02,-1.242350332366554955e-01
-3.231392405063289452e-02,-1.919734870843795571e-01
-2.824405063291140008e-02,-1.327885693730911087e-01
-2.417417721518990564e-02,-1.722951671827797626e-01
-2.010430379746841120e-02,-1.685124722917137607e-01
-1.603443037974691676e-02,-8.983562176208331751e-02
-1.196455696202521415e-02,-1.781969648317702770e-01
-7.894683544303719713e-03,-1.162876609107975079e-01
-3.824810126582225273e-03,-1.291084747413296374e-01
2.450632911392696019e-04,-1.351279715430730444e-01
4.314936708860764476e-03,-1.382125359139329268e-01
8.384810126582259784e-03,-1.488850917330846180e-01
1.245468354430375423e-02,-8.344105842792262639e-02
1.652455696202524693e-02,-1.401117633283556485e-01
2.059443037974694954e-02,-1.141460404806056150e-01
2.466430379746844398e-02,-1.193958529996891615e-01
2.873417721518993842e-02,-1.269482729178609548e-01
3.280405063291143286e-02,-8.323419357909489502e-02
3.687392405063293077e-02,-1.515851920529137642e-01
4.094379746835442174e-02,-9.957668072284617256e-02
4.501367088607591965e-02,-1.039275056346875142e-01
4.908354430379741062e-02,-8.919425728082328031e-02
5.315341772151890853e-02,-1.207058576696475038e-01
5.722329113924060767e-02,-8.990289265055968759e-02
6.129316455696210558e-02,-8.993858458744490025e-02
6.536303797468359655e-02,-1.141541732958701039e-01
6.943291139240509446e-02,-1.010706755314430827e-01
7.350278481012659237e-02,-8.584260928267668789e-02
7.757265822784807641e-02,-1.065087150310610742e-01
