#x(nm),y(Hz)
-4.600000000000000755e-01,-3.502797645169043506e+01
-4.559691139240511504e-01,-3.552210647698068158e+01
-4.519382278481016146e-01,-3.592700125351186102e+01
-4.479073417721524675e-01,-3.499268966700157790e+01
-4.438764556962029317e-01,-3.306046454708079807e+01
-4.398455696202537846e-01,-3.038873676776696442e+01
-4.358146835443042488e-01,-2.904038549961419236e+01
-4.317837974683547131e-01,-2.791491613227096735e+01
-4.277529113924055659e-01,-2.658285571458525709e+01
-4.237220253164560302e-01,-2.513121921013248539e+01
-4.196911392405068830e-01,-2.405245671097503646e+01
-4.156602531645573473e-01,-2.316106940716881013e+01
-4.116293670886082001e-01,-2.238939749443539640e+01
-4.075984810126586644e-01,-2.172392782511629861e+01
-4.035675949367091286e-01,-2.109384354294893882e+01
-3.995367088607599815e-01,-2.031128835756703666e+01
-3.955058227848104457e-01,-1.951300740306230708e+01
-3.914749367088612986e-01,-1.925814301581261390e+01
-3.874440506329117628e-01,-1.775327164348658471e+01
-3.834131645569626157e-01,-1.551259058502310317e+01
-3.793822784810130799e-01,-1.353644012921661499e+01
-3.753513924050635442e-01,-1.311244026108661842e+01
-3.713205063291143970e-01,-1.246653812411579665e+01
-3.672896202531648613e-01,-1.193101056157247264e+01
-3.632587341772157696e-01,-1.160284307462169018e+01
-3.592278481012661784e-01,-1.186365618696638435e+01
-3.551969620253170867e-01,-1.217663947681710290e+01
-3.511660759493674955e-01,-1.072885490399040620e+01
-3.471351898734179597e-01,-8.539845496334194763e+00
-3.431043037974688681e-01,-7.152533427365018959e+00
-3.390734177215192768e-01,-7.166432463720776802e+00
-3.350425316455701852e-01,-6.941023812925186220e+00
-3.310116455696206494e-01,-6.702668278613650443e+00
-3.269807594936715023e-01,-6.465917167128991672e+00
-3.229498734177219665e-01,-6.247055628272530470e+00
-3.189189873417724308e-01,-6.063612666325585820e+00
-3.148881012658232836e-01,-5.874330640399858083e+00
-3.108572151898737479e-01,-5.662467443046874216e+00
-3.068263291139246007e-01,-5.482256539391320516e+00
-3.027954430379750650e-01,-5.317276667505773879e+00
-2.987645569620259178e-01,-5.155972159088802798e+00
-2.947336708860763821e-01,-4.985136578282268083e+00
-2.907027848101268463e-01,-4.812455667597514974e+00
-2.866718987341776992e-01,-4.654625134620930638e+00
-2.826410126582281634e-01,-4.510128685856445330e+00
