#x(nm),y(nN)
-4.400000000000000577e-01,-7.253844317790492546e+00
-4.360084810126583776e-01,-3.046428960174312195e+00
-4.320169620253165865e-01,-1.818312996420045735e+00
-4.280254430379748509e-01,-2.001832988305399574e+00
-4.240339240506330598e-01,-1.822414380041935900e+00
-4.200424050632913242e-01,-1.719716666437492325e+00
-4.160508860759495331e-01,-1.647162272246738945e+00
-4.120593670886077420e-01,-1.604035748891013746e+00
-4.080678481012660064e-01,-1.596978077159874498e+00
-4.040763291139242153e-01,-1.592029979795446915e+00
-4.000848101265824797e-01,-1.564834115788896751e+00
-3.960932911392406885e-01,-1.533821552473791261e+00
-3.921017721518989529e-01,-1.531955546020966619e+00
-3.881102531645571618e-01,-1.523914123654864561e+00
-3.841187341772154262e-01,-1.524495242546308527e+00
-3.801272151898736351e-01,-1.483159128035582031e+00
-3.761356962025318440e-01,-1.421880935220495745e+00
-3.721441772151901084e-01,-1.401142981338826976e+00
-3.681526582278483173e-01,-1.340016658193610821e+00
-3.641611392405065817e-01,-1.290476641643531153e+00
-3.601696202531647906e-01,-1.260757847035044232e+00
-3.561781012658230550e-01,-1.275647486603779024e+00
-3.521865822784812639e-01,-1.237648502789437943e+00
-3.481950632911394727e-01,-1.209491513794330508e+00
-3.442035443037977371e-01,-1.195021870507225081e+00
-3.402120253164559460e-01,-1.188926533417647979e+00
-3.362205063291142104e-01,-1.165482956670939707e+00
-3.322289873417724193e-01,-1.158700686298370419e+00
-3.282374683544306837e-01,-1.136343679285352737e+00
-3.242459493670888926e-01,-1.118083252562038332e+00
-3.202544303797471570e-01,-1.070329912369135883e+00
-3.162629113924053659e-01,-1.047379208100887471e+00
-3.122713924050635748e-01,-1.028653329748857814e+00
-3.082798734177218392e-01,-1.033984049008397355e+00
-3.042883544303800480e-01,-1.013698266510804080e+00
-3.002968354430383124e-01,-9.808941135308055781e-01
-2.963053164556961327e-01,-9.399439478943982795e-01
-2.923137974683543416e-01,-9.490660211547207181e-01
-2.883222784810126060e-01,-9.593647751878131569e-01
-2.843307594936708149e-01,-9.052901627403686646e-01
-2.803392405063290793e-01,-8.668454686436902756e-01
-2.763477215189872882e-01,-8.726062066289217434e-01
-2.723562025316454971e-01,-8.614428173743073902e-01
-2.683646835443037615e-01,-8.309757276686876581e-01
-2.643731645569619704e-01,-8.169589778586484607e-01
-2.603816455696204013e-01,-7.856544579486877122e-01
-2.563901265822786657e-01,-7.499527216462403834e-01
-2.523986075949368746e-01,-7.243997860932404054e-01
-2.484070886075951112e-01,-7.009775057296406819e-01
-2.444155696202533479e-01,-6.796205570621958181e-01
-2.404240506329115845e-01,-6.545227262470721952e-01
-2.364325316455698212e-01,-6.190684674325724890e-01
-2.324410126582280578e-01,-5.971793584407266708e-01
-2.284494936708862944e-01,-5.787107914199134395e-01
-2.244579746835443090e-01,-5.566434441946959133e-01
-2.204664556962025457e-01,-5.476894746260565494e-01
-2.164749367088607823e-01,-5.238512351071139550e-01
-2.124834177215190190e-01,-5.104461061659633092e-01
-2.084918987341772556e-01,-4.916977761244030187e-01
-2.045003797468354922e-01,-5.018000174216444842e-01
-2.005088607594937289e-01,-4.670675187942386342e-01
-1.965173417721519378e-01,-4.675990867694477804e-01
-1.925258227848101744e-01,-4.416217364031416737e-01
-1.885343037974684111e-01,-4.397590009934353450e-01
-1.845427848101266477e-01,-4.262940259730960135e-01
-1.805512658227848843e-01,-4.119218523190852910e-01
-1.765597468354431210e-01,-4.020464747030990660e-01
-1.725682278481013576e-01,-4.208212004645588977e-01
-1.685767088607595943e-01,-4.080394502831019010e-01
-1.645851898734178032e-01,-3.963534000706129268e-01
-1.605936708860760398e-01,-3.756127229801401457e-01
-1.566021518987342764e-01,-3.998556289962694188e-01
-1.526106329113925131e-01,-3.633642114035598447e-01
-1.486191139240507497e-01,-3.854828738390118636e-01
-1.446275949367089864e-01,-3.592118274592397964e-01
-1.406360759493672230e-01,-3.665766146088142996e-01
-1.366445569620254596e-01,-3.506916044632666929e-01
-1.326530379746836963e-01,-3.855286017982291757e-01
-1.286615189873419052e-01,-3.470896554176708393e-01
-1.246700000000001557e-01,-3.621545251015234057e-01
-1.206784810126583785e-01,-3.285368982293333517e-01
-1.166869620253166151e-01,-3.462968366917910101e-01
-1.126954430379748517e-01,-3.267361113325733535e-01
-1.087039240506330884e-01,-3.355436011289728571e-01
-1.047124050632913111e-01,-3.327202299188020684e-01
-1.007208860759495478e-01,-3.122304942649216652e-01
-9.672936708860778443e-02,-3.054592199528533003e-01
-9.273784810126602107e-02,-2.817293825304604260e-01
-8.874632911392424384e-02,-2.921489546796444681e-01
-8.475481012658248048e-02,-2.939924816542187624e-01
-8.076329113924071712e-02,-2.882294626624314349e-01
-7.677177215189874560e-02,-2.801072726022128534e-01
-7.278025316455696836e-02,-2.760713450484816867e-01
-6.878873417721520500e-02,-2.787541860064741694e-01
-6.479721518987344164e-02,-2.527054890803450693e-01
-6.080569620253167828e-02,-2.485460780113531165e-01
-5.681417721518990799e-02,-2.607893094885927465e-01
-5.282265822784814463e-02,-2.429149950502848265e-01
-4.883113924050637433e-02,-2.434014128247460329e-01
-4.483962025316461097e-02,-2.303260545776306956e-01
-4.084810126582284068e-02,-2.410008825925895326e-01
-3.685658227848107732e-02,-2.176571223566736435e-01
-3.286506329113930702e-02,-2.293303106334261265e-01
